id,description,parent
Parathrincostoma,Parathrincostoma,sec66-3-3
Halictus (Paraseladonia),Halictus (Paraseladonia),sec66-3-4
Eupetersia,Eupetersia,sec66-3-5
Sphecodes,Sphecodes,sec66-3-5
Halictus,Halictus,sec66-3-6
Thrinchostoma,Thrinchostoma,sec66-3-7
Thrincohalictus,Thrincohalictus,sec66-3-8
Glossodialictus,Glossodialictus,sec66-3-9
Patellapis,Patellapis,sec66-3-9
Urohalictus,Urohalictus,sec66-3-1
Echthralictus,Echthralictus,sec66-3-1
Homalictus,Homalictus,sec66-3-1
Lasioglossum,Lasioglossum,sec66-3-1
